Дата,Хляб,Мляко,Яйца,Кафе,Захар
2024-01-01,51,43,17,37,75
2024-01-02,92,91,46,34,86
2024-01-03,14,29,48,93,85
2024-01-04,71,92,13,94,84
2024-01-05,60,45,14,48,26
2024-01-06,20,5,30,68,56
2024-01-07,82,98,0,61,30
2024-01-08,86,36,53,59,5
2024-01-09,74,23,2,49,90
2024-01-10,74,92,15,77,39
2024-01-11,87,45,86,74,97
2024-01-12,99,52,56,8,11
2024-01-13,23,94,74,33,52
2024-01-14,2,98,11,75,70
2024-01-15,21,59,73,98,9
2024-01-16,52,96,95,34,44
2024-01-17,1,62,15,0,16
2024-01-18,87,84,71,39,25
2024-01-19,29,31,75,63,84
2024-01-20,37,86,23,21,91
2024-01-21,1,32,27,59,61
2024-01-22,63,66,7,63,45
2024-01-23,59,17,91,92,63
2024-01-24,20,24,35,71,1
2024-01-25,32,94,89,10,53
2024-01-26,75,53,7,13,64
2024-01-27,57,57,57,59,50
2024-01-28,21,66,59,29,52
2024-01-29,88,45,49,34,35
2024-01-30,48,23,27,84,25
2024-01-31,90,31,91,36,28
2024-02-01,58,46,40,4,20
2024-02-02,41,85,99,82,10
2024-02-03,91,22,63,77,39
2024-02-04,59,65,26,25,10
2024-02-05,79,26,62,61,35
2024-02-06,14,1,16,3,58
2024-02-07,61,89,72,88,38
2024-02-08,61,16,32,41,98
2024-02-09,46,32,83,88,53
2024-02-10,61,8,76,17,97
2024-02-11,50,42,91,39,54
2024-02-12,54,47,28,71,23
2024-02-13,63,38,12,38,21
2024-02-14,2,92,45,13,68
2024-02-15,50,41,34,31,55
2024-02-16,6,25,5,50,32
2024-02-17,20,98,81,37,35
2024-02-18,72,49,68,96,19
2024-02-19,38,24,46,22,82
2024-02-20,17,23,24,62,98
2024-02-21,3,12,65,14,80
2024-02-22,88,59,9,96,61
2024-02-23,59,6,55,24,97
2024-02-24,13,56,29,16,72
2024-02-25,8,35,4,96,25
2024-02-26,89,44,32,65,65
2024-02-27,52,19,64,77,72
2024-02-28,1,64,17,52,72
2024-02-29,83,7,95,50,39
2024-03-01,91,15,48,38,16
